Nome,CPF,Email,Telefone
João da Silva,123.456.789-10,joao@example.com,(11) 98765-4321
Maria Oliveira,987.654.321-00,maria@example.com,(21) 91234-5678
Pedro Santos,111.222.333-44,pedro@example.com,(11) 99876-5432
Ana Costa,555.666.777-88,ana@example.com,(31) 98765-1234
Carlos Souza,999.888.777-66,carlos@example.com,(41) 91234-9876
Juliana Lima,222.333.444-55,juliana@example.com,(51) 98765-4321
Roberto Alves,666.777.888-99,roberto@example.com,(61) 91234-5678
Fernanda Rocha,444.555.666-77,fernanda@example.com,(71) 98765-9876
Lucas Ferreira,333.444.555-66,lucas@example.com,(81) 91234-5678
Patricia Gomes,777.888.999-00,patricia@example.com,(85) 98765-4321
